idx	C3L-00102	C3L-00819	C3L-01637	C3L-02606	C3L-02610	C3L-02809	C3L-02899	C3L-03123	C3L-04072	C3N-00436	C3N-00518	C3N-02010	C3N-02589	C3N-02768	C3N-03780
ENSG00000285865.1	6.8924	6.845	6.5211	6.8112	6.2673	6.5019	6.7428	6.6113	6.6737	6.3003	7.8623	6.4807	6.6732	6.5436	5.8426
ENSG00000285866.1	0	1.5104	0	0	1.8021	0	0.9372	0	0.8857	1.057	0	0	1.8683	0	0
ENSG00000285867.1	5.194	4.9075	5.2801	5.3902	5.5342	5.3921	5.5742	4.8039	4.9188	5.0282	5.0963	5.0589	4.8574	5.0173	6.5061
ENSG00000285868.1	5.8431	6.6252	6.6911	6.331	6.0666	6.072	6.8227	5.9651	5.9751	6.6706	6.813	6.1404	6.4935	6.8832	5.6311
ENSG00000285869.1	5.0443	4.3591	3.9677	4.5791	3.0902	2.5648	3.0565	3.2846	3.9459	3.8035	3.0213	1.6417	2.8451	1.8538	3.7419
ENSG00000285870.1	3.2308	3.6026	3.3757	1.6214	3.6128	3.9828	2.3657	3.531	2.9993	3.0983	3.8427	3.9657	3.5361	2.995	4.162
ENSG00000285871.1	2.4474	2.5023	3.225	3.014	1.8021	1.5678	2.0614	4.2044	1.825	2.8356	3.7534	3.0907	3.1605	0.9042	4.3761
ENSG00000285872.1	1.5218	3.2251	2.6316	2.3696	3.0902	0.9909	2.6908	2.6481	2.9601	3.2698	2.1869	3.5437	2.8451	2.6416	3.2146
ENSG00000285873.1	2.5068	4.4787	2.8631	2.3696	2.8529	0.9909	2.2183	0	0	2.4101	3.7534	2.3939	3.1605	2.8279	1.9034
ENSG00000285875.1	2.5068	0.948	0	1.0312	0	1.9863	3.4628	0	0.8857	2.0846	0.9183	3.0806	2.8451	3.1427	0
ENSG00000285876.1	2.2498	2.236	0	3.6367	2.8529	0.9909	0	2.6481	0.8857	2.6737	2.8538	1.6417	0.9136	0	1.2495
ENSG00000285877.1	6.1529	6.885	7.3514	7.3714	6.5782	7.5118	8.0821	6.5811	6.9334	5.0783	6.1738	7.5613	7.3626	8.2122	7.2986
ENSG00000285878.1	3.4992	3.0763	3.5162	3.6367	3.0902	4.4425	4.7861	4.4638	3.9459	2.9064	3.0213	4.4073	4.6881	3.9834	3.5875
